program,module,gz,card_id
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 1,232694
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 1,232693
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Устройство компьютера,Практика «Устройство компьютера». Часть 2,232968
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Алгоритмы с ветвлением,Презентация «Анализ программ и решение задач» (Blockly),235774
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Циклические алгоритмы,Тестовое задание (Blockly),235039
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Циклические алгоритмы,Тестовое задание (Blockly),235038
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Хранение информации,Рабочая тетрадь «Файловые системы»,183248
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Хранение информации,Рабочая тетрадь «Файловые системы»,215737
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Хранение информации,Рабочая тетрадь «Единицы измерения информации. Задачи»,237524
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Цифровые сервисы,Дополнительный контент,219126
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Цифровые сервисы,Рабочая тетрадь «Яндекс Документы»,219294
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217567
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Безопасность в сети»,217581
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,"Интернет, кибербезопасность и поисковые запросы",Рабочая тетрадь «Поисковые запросы»,220356
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Текстовые редакторы,Дополнительное задание «Учимся быстро печатать»,233968
Программа Информатики для 7 класса 2024-2025. Программа «Один час в неделю». ФГОС,Графические редакторы,Рабочая тетрадь «Работа с векторными изображениями»,243087
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Системы счисления,Презентация «Арифметические операции в позиционных системах счисления»,229938
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Практикум по решению задач»,231698
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Логические операции над множествами»,231768
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Рабочая тетрадь «Логические операции над множествами»,231863
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Логические выражения на Python»,232211
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Логические элементы»,238209
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Рабочая тетрадь «Логические элементы»,238283
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Логические схемы»,238257
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Рабочая тетрадь «Логические схемы»,238269
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Элементы математической логики,Презентация «Архитектура процессора. Сумматор»,238315
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Язык программирования. Линейные и условные алгоритмы,"Презентация «Вывод, типы данных и переменные»",237119
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Язык программирования. Линейные и условные алгоритмы,"Презентация «Вывод, типы данных и переменные»",237123
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Язык программирования. Линейные и условные алгоритмы,"Дополнительные задачи «Вывод, типы данных и переменные»",232433
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю»,Язык программирования. Линейные и условные алгоритмы,Презентация «Арифметика чисел»,237596
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Введение,Рабочая тетрадь. Повторение. Техника безопасности,235901
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Ввод/вывод и арифметика,"Дополнительные задачи «Вывод, типы данных и переменные»",232433
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Работа со строками: сравнение и методы строк,Домашняя работа «Сравнение строк»,228061
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Разработка веб-страниц,Рабочая тетрадь «Элементы веб⁠-⁠страниц»,220734
Программа Информатики для 8 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Разработка веб-страниц,Рабочая тетрадь «Элементы веб⁠-⁠страниц»,220735
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Системы счисления,Презентация «Арифметические операции в позиционных системах счисления»,229938
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Презентация «Основы математической логики»,230615
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Презентация «Составные логические высказывания»,230748
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Презентация «Логические операции над множествами»,231768
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Рабочая тетрадь «Логические операции над множествами»,231863
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Презентация «Логические элементы»,238209
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Рабочая тетрадь «Логические элементы»,238283
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Презентация «Логические схемы»,238257
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Элементы математической логики,Рабочая тетрадь «Логические схемы»,238269
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю»,Язык программирования. Анализ алгоритмов,"Дополнительные задачи «Вывод, типы данных и переменные»",232433
Программа Информатики для 8 класса 2024-2025. Программа «Один час в неделю». ФГОС,Ввод/вывод и арифметика,"Дополнительные задачи «Вывод, типы данных и переменные»",232433
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Организация интернета»,217324
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Безопасность в сети»,217576
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «‎Безопасное общение в интернете»‎,217622
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Безопасность данных»,218111
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Безопасность данных»,218124
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Поисковые запросы»,220356
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Расширенные поисковые запросы»,220724
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Рабочая тетрадь «Поиск в специальных сервисах»,220905
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Дополнительные задания «Поиск в специальных сервисах»,221408
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Презентация «Элементы веб⁠-⁠страниц»,217640
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Презентация «Стиль элементов веб-страниц»,218028
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Презентация «Общие стили веб-страниц»,218270
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Презентация «Разделы веб⁠-⁠страниц»,218495
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Глобальная сеть Интернет и стратегии безопасного поведения в ней,Презентация «Основы веб⁠-⁠дизайна»,221296
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Работа в информационном пространстве,Презентация «Почта vs мессенджеры»,219117
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Работа в информационном пространстве,Презентация «Облачное хранилище»,219568
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Работа в информационном пространстве,Презентация «Яндекс Документы»,219268
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Виды моделей»,238977
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Виды моделей»,238979
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Практическая работа «Модели и моделирование»,238990
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Практическая работа «Модели и моделирование»,238986
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Практическая работа «Модели и моделирование»,238987
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Компьютерное моделирование»,239240
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Компьютерное моделирование»,239247
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Базы данных»,252631
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,Моделирование как метод познания,Рабочая тетрадь «Ориенти­рован­ный и взвешен­ный граф»,240730
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю»,ОГЭ (старая программа),Путь в графе,213027
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 1,231760
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления» Вариант 2,231760
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 3,231760
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Системы счисления,Рабочая тетрадь «Арифметические операции в позиционных системах счисления»,233685
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Основы математической логики,Рабочая тетрадь «Основы математической логики»,230667
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Основы математической логики,Практика 1 «Основы математической логики»,233100
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Основы математической логики,Практика 2 «Основы математической логики»,233227
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Основы математической логики,Практика 3 «Основы математической логики»,233243
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Логические основы компьютера,Рабочая тетрадь «Архитектура процессора»,238326
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Методы списков/строк,Презентация «Методы join() и split()»,239502
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Компьютерное моделирование,Рабочая тетрадь «Виды моделей»,238981
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Компьютерное моделирование,Практическая работа «Модели и моделирование»,238986
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Компьютерное моделирование,Рабочая тетрадь «Компьютерное моделирование»,239247
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,Алгоритмы на графах,Практическая работа «Ориентированный и взвешенный граф»,240747
Программа Информатики для 9 класса 2024-2025. Программа «Два часа в неделю». ФГОС,ОГЭ (старая программа),Путь в графе,213027
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Работа в информационном пространстве,Презентация «Почта vs мессенджеры»,219117
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Работа в информационном пространстве,Презентация «Облачное хранилище»,219568
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Работа в информационном пространстве,Презентация «Яндекс Документы»,219268
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Презентация «Модели и моделирование»,238884
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Рабочая тетрадь «Виды моделей»,238981
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Практическая работа «Модели и моделирование»,238986
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Рабочая тетрадь «Компьютерное моделирование»,239247
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Рабочая тетрадь «Базы данных»,252631
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,Моделирование как метод познания,Рабочая тетрадь «Ориентированный и взвешенный граф»,240730
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю»,ОГЭ (старая программа),Путь в графе,213027
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Введение,Рабочая тетрадь. Повторение. Техника безопасности,236055
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 1,231760
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления» Вариант 2,231760
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Системы счисления,Практика «Переводы из различных систем счисления». Вариант 3,231760
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Системы счисления,Рабочая тетрадь «Арифметические операции в позиционных системах счисления»,233685
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Основы математической логики,Рабочая тетрадь «Основы математической логики»,230667
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Основы математической логики,Практика 1 «Основы математической логики»,233100
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Основы математической логики,Практика 2 «Основы математической логики»,233227
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Основы математической логики,Практика 3 «Основы математической логики»,233243
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,Алгоритмы на графах,Рабочая тетрадь «Ориенти­ро­ван­ный и взве­шен­ный граф»,240730
Программа Информатики для 9 класса 2024-2025. Программа «Один час в неделю». ФГОС,ОГЭ (старая программа),Путь в графе,213027
"Программа по информатике для СПО, 70 часов","Компьютер: аппаратное и программное обеспечение, файловая система (4 часа)",Презентация «Облачное хранилище»,219568
"Программа по информатике для СПО, 70 часов",Сетевые информационные технологии (6 часов),Рабочая тетрадь «Что такое интернет»,256105
"Программа по информатике для СПО, 70 часов",Сетевые информационные технологии (6 часов),Рабочая тетрадь «Различные онлайн-сервисы»,256371
"Программа по информатике для СПО, 70 часов",Информация и информационные процессы (2 часа),Рабочая тетрадь «Единицы измерения информации»,252592
"Программа по информатике для СПО, 70 часов",Информация и информационные процессы (2 часа),Рабочая тетрадь «Единицы измерения информации»,237507
"Программа по информатике для СПО, 70 часов",Информация и информационные процессы (2 часа),Рабочая тетрадь «Единицы измерения информации»,237506
"Программа по информатике для СПО, 70 часов",Информация и информационные процессы (2 часа),Рабочая тетрадь «Единицы измерения информации. Задачи»,237524
"Программа по информатике для СПО, 70 часов",Представление информации в компьютере (8 часов),Презентация «Арифметические операции в позиционных системах счисления»,229938
"Программа по информатике для СПО, 70 часов",Представление информации в компьютере (8 часов),Рабочая тетрадь «Кодирование графической информации»,227307
"Программа по информатике для СПО, 70 часов",Элементы алгебры логики (6 часов),Презентация «Практикум по решению задач»,231698
"Программа по информатике для СПО, 70 часов",Элементы алгебры логики (6 часов),Презентация «Логические операции над множествами»,231768
"Программа по информатике для СПО, 70 часов",Элементы алгебры логики (6 часов),Рабочая тетрадь «Логические операции над множествами»,231863
"Программа по информатике для СПО, 70 часов",Элементы алгебры логики (6 часов),Презентация «Логические элементы»,238209
"Программа по информатике для СПО, 70 часов",Элементы алгебры логики (6 часов),Рабочая тетрадь «Логические элементы»,238283
"Программа по информатике для СПО, 70 часов",Информационное моделирование (4 часа),Рабочая тетрадь «Виды моделей»,238977
"Программа по информатике для СПО, 70 часов",Информационное моделирование (4 часа),Рабочая тетрадь «Виды моделей»,238979
"Программа по информатике для СПО, 70 часов",Информационное моделирование (4 часа),Практическая работа «Модели и моделирование»,238986
"Программа по информатике для СПО, 70 часов",Информационное моделирование (4 часа),Практическая работа «Модели и моделирование»,238987
"Программа по информатике для СПО, 70 часов",Информационное моделирование (4 часа),Практическая работа «Модели и моделирование»,238990
"Программа по информатике для СПО, 70 часов","Технология обработки текстовой, графической и мультимедийной информации (8 часов)",Рабочая тетрадь «Работа с векторными изображениями»,243087
"Программа по информатике для СПО, 70 часов","Технология обработки текстовой, графической и мультимедийной информации (8 часов)",Дополнительные задания «Работа с векторными изображениями»,255709
"Программа по информатике для СПО, 70 часов",Базы данных (1 час),Рабочая тетрадь «Базы данных»,252631
"Программа по информатике для СПО, 70 часов",Средства искусственного интеллекта (3 часа),Рабочая тетрадь «Что такое искусственный интеллект?»,253863
"Программа по информатике для СПО, 70 часов",Программирование. Алгоритмы и элементы программирования (20 часов),"Презентация «Вывод, типы данных и переменные»",237123
"Программа по информатике для СПО, 70 часов",Программирование. Алгоритмы и элементы программирования (20 часов),"Презентация «Вывод, типы данных и переменные»",237119
"Программа по информатике для СПО, 70 часов",Программирование. Алгоритмы и элементы программирования (20 часов),"Дополнительные задачи «Вывод, типы данных и переменные»",232433
"Программа по информатике для СПО, 70 часов",Программирование. Алгоритмы и элементы программирования (20 часов),Презентация «Арифметика чисел»,237596
